analytical_customer_id,is_gold,amt_total,afford_amt_total,order_count
19Tl0R761OQ16ZbJ73tUnaIA,False,1732.96,171.01,8
19o14OM-ykSA-RplMQS9m4qA,True,1347.12,258.6,6
19u_b8EWZnRUWo1pEpAm-aDQ,False,290.0,0.0,2
1ADvpyICmdR7ClqpI7WvBA3Q,False,8121.44,367.44,26
1AljnfAGUYQaGkmwASu7d-KQ,False,325.98,101.1,4
1Ar6a22Gw5QjGEum2RKhMM9Q,False,754.4,212.998,7
1AsxGI6W1MQmW_dr6awt44Xg,False,125.0,70.0,1
1B-yqLQuKrSNuGIsQc0DNb1w,False,1251.28,241.29,20
1BJY6Vmi8KTYiFPTme3LENKw,False,5597.0,0.0,10
1CSrTYM6kYQq65RaMbYboMDA,False,1770.7,384.534,10
1Cmprf5O4mR9OhmB5idXckdA,False,2397.92,250.0,8
1DPNL_vOnLRbOxAuvPacgaOw,False,1403.8764,220.0,24
1DelGh5qSxT_qtRM5_VCkK6Q,False,88.0,40.0,1
1DuETWOedXSIedpFOLEnqKJA,True,833.0038,195.0,8
1E-qGcG6HvTU6hy7GouAbrIg,False,543.0,32.8,2
1E0fcDWuhKRnudK9WP7gxEJw,False,205.0,100.0,2
1EiuyDjaGqSmabdijPFHR3XQ,False,1482.65,118.0,31
1ExvBWS-88Sm-OCvSTXBlfnQ,False,72.0,0.0,2
1FVImU1u4zS6uBU-1uprN4Iw,False,120.0,81.4,1
1GIPXI6mxIS4mf-W6EQzs-Qg,False,756.0,0.0,2
1GsKL6AOzFQKOPegAHhIXdFw,False,413.0,120.0,4
1H0lV2nqSBTzqFYPnvQpl3zw,False,545.25,310.0,5
1HnFTgbKnwQnKinvbN5BDsJA,False,912.8,365.0,10
1I1biyzqJJRbqF8Dz2OJ97Cg,False,2409.15,102.25,7
1IBvUCYawZQRa5jjYAmhQkVw,False,122.85,89.5,1
1IWfwpgWn8RJWuZVgfF8sM6A,False,444.9984,40.0,3
1IlOBjamoaThmK8laVWGGXJQ,False,1013.5500000000001,284.0,4
1JCfMjumo0TwmgVCuWfot1Fg,False,1522.0,45.2,29
1JKILOCClQR9CsIDC_VK3C3A,False,45.0,0.0,1
1JWqCNgG30TzGNsYgSelxiMg,False,200.0,110.0,2
1JoJTueSN6SfSfbJee9wt8LA,False,251.98,0.0,3
1JtDLo8mXQS7m2Ji85vElA1w,False,288.0,110.0,2
